Location,Gun Ownership by April 2017
Alabama,161641
Alaska,15824
Arizona,79841
Arkansas,179738
California,344622
Colorado,92435
Connecticut,82400
Delaware,47228
District of Columbia,4852
Florida,343288
Georgia,190050
Hawaii,7859
Idaho,49566
Illinois,146487
Indiana,114019
Iowa,28494
Kansas,52634
Kentucky,81068
Louisiana,116831
Maine,15371
Maryland,103109
Massachusetts,37152
Michigan,65742
Minnesota,79307
Mississippi,35494
Missouri,72996
Montana,22133
Nebraska,22234
Nevada,76888
New Hampshire,64135
New Jersey,57507
New Mexico,97580
New York,76207
North Carolina,152238
North Dakota,13272
Ohio,173405
Oklahoma,71269
Oregon,61383
Pennsylvania,236377
Rhode Island,4223
South Carolina,105601
South Dakota,21130
Tennessee,99159
Texas,588696
Utah,72856
Vermont,5872
Virginia,307822
Washington,91835
West Virginia,35264
Wisconsin,64878
Wyoming,132806
Other,671
